ballDist,ballDir,targetAngle,velX,velY,velTheta,accX,accY,accTheta
1.33867,0.0587782,-1.48404,-0.005,0,0,0.015,0,0.0321992
1.32776,0.0484394,-1.54462,0.01,0,0.0321992,0.03,0,0.0265355
1.35611,-0.0524707,-1.60089,0.025,0,0.0265355,0.0399449,0,-0.0287439
1.08412,-0.0028709,-1.5909,0.034945,0,-0.0287439,0.0399998,0,-0.0015727
0.987822,0.0442137,-1.56085,0.0349998,0,-0.0015727,0.0399609,0,0.0242206
0.766167,0.0815247,-1.56568,0.0349609,0,0.0242206,0.0398671,0,0.0446599
0.593874,0.0598014,-1.59372,0.0348671,0,0.0446599,0.04,0.002,0.0232814
0.449841,0.165371,-1.5713,0.035,0.002,0.0232814,0.0382546,0.004,0.064381
0.287632,0.215814,-1.65058,0.0332546,0.004,0.064381,0.0132546,0.004,0.0840189
0.19906,0.112978,-1.61861,0.00825462,0.004,0.0840189,-0.00174542,0.004,0.0439837
0.190686,-0.0683415,-1.66093,-0.00674542,0.004,0.0439837,-0.00308104,0.004,-0.0266062
0.24239,-0.104835,-1.72893,-0.00808104,0.004,-0.0266062,0.00516587,0.004,-0.0408136
0.222722,-0.0912241,-1.62684,0.000165871,0.004,-0.0408136,0.00202869,0.004,-0.0355146
0.214953,-0.0221544,-1.58292,-0.00297131,0.004,-0.0355146,0.000789518,0.004,-0.00862498
0.215334,-0.0505955,-1.56154,-0.00421048,0.004,-0.00862498,0.000850281,0.004,-0.0196974
0.221242,0.00895287,-1.51774,-0.00414972,0.004,-0.0196974,0.0017926,0.004,0.00348546
0.212641,-0.0581164,-1.53272,-0.0032074,0.004,0.00348546,0.00042076,0.004,-0.0226254
0.216931,-0.0901389,-1.5083,-0.00457924,0.004,-0.0226254,0.00110506,0.004,-0.0350922
0.234681,-0.0810294,-1.4737,-0.00389494,0.004,-0.0350922,0.00393626,0.004,-0.0315457
0.233175,-0.0855735,-1.41921,-0.00106374,0.004,-0.0315457,0.00369591,0.004,-0.0333148
0.223155,-0.124536,-1.39162,-0.00130409,0.004,-0.0333148,0.00209776,0.004,-0.0484834
0.210062,-0.0677261,-1.33152,-0.00290224,0.004,-0.0484834,9.34153e-06,0.004,-0.0263666
0.218145,0.00881905,-1.24922,-0.00499066,0.004,-0.0263666,0.00129874,0.004,0.00343336
0.232594,-0.10895,-1.23909,-0.00370126,0.004,0.00343336,0.00360327,0.004,-0.0424156
0.201998,0.0147052,-1.203,-0.00139673,0.004,-0.0424156,-0.00127675,0.004,0.0057249
0.212651,-0.0910514,-1.17806,-0.00627675,0.004,0.0057249,0.000422368,0.004,-0.0354474
0.219893,-0.044829,-1.16141,-0.00457763,0.004,-0.0354474,0.00157751,0.004,-0.0174525
0.212104,-0.0732462,-1.1484,-0.00342249,0.004,-0.0174524,0.000335189,0.004,-0.0285156
0.230589,-0.0938861,-1.09562,-0.00466481,0.004,-0.0285156,0.00328356,0.004,-0.036551
0.252088,-0.126304,-1.04615,-0.00171644,0.004,-0.036551,0.00671272,0.004,-0.0491719
0.219927,0.0285687,-0.954895,0.00171272,0.004,-0.0491719,0.00158284,0.004,0.0111221
0.20542,-0.0266776,-0.930204,-0.00341716,0.004,0.0111221,-0.000731063,0.004,-0.0103859
0.22133,-0.0926694,-0.954047,-0.00573106,0.004,-0.0103859,0.00180676,0.004,-0.0360773
0.227572,-0.0462518,-0.881622,-0.00319324,0.004,-0.0360773,0.00280224,0.004,-0.0180064
0.216188,-0.0884747,-0.865209,-0.00219776,0.004,-0.0180064,0.000986547,0.004,-0.0344443
0.216937,-0.0973357,-0.795393,-0.00401345,0.004,-0.0344443,0.00110601,0.004,-0.037894
0.223948,-0.105934,-0.752838,-0.00389399,0.004,-0.037894,0.00222423,0.004,-0.0412414
0.218945,-0.0435265,-0.653831,-0.00277577,0.004,-0.0412414,0.0014262,0.004,-0.0169454
0.214501,-0.110664,-0.638253,-0.0035738,0.004,-0.0169454,0.000717429,0.004,-0.0430827
0.216088,-0.0236345,-0.55484,-0.00428257,0.004,-0.0430827,0.000970522,0.004,-0.00920121
0.217345,-0.103039,-0.528686,-0.00402948,0.004,-0.00920121,0.00117104,0.004,-0.0401142
0.204398,-0.082052,-0.477768,-0.00382896,0.004,-0.0401142,-0.000894074,0.004,-0.0319438
0.212212,-0.0672702,-0.409913,-0.00589407,0.004,-0.0319438,0.000352425,0.004,-0.0261891
0.234179,-0.0439204,-0.340068,-0.00464758,0.004,-0.0261891,0.00385608,0.004,-0.0170987
0.207984,-0.0183026,-0.299978,-0.00114392,0.004,-0.0170987,-0.000322103,0.004,-0.00712544
0.20913,-0.00817474,-0.247389,-0.0053221,0.004,-0.00712544,-0.000139219,0.004,-0.00318253
0.223137,-0.0577194,-0.237357,-0.00513922,0.004,-0.00318253,0.00209485,0.004,-0.0224709
0.217963,-0.0369039,-0.191062,-0.00290515,0.004,-0.0224709,0.00126965,0.004,-0.0143671
0.216397,-0.0531128,-0.119953,-0.00373035,0.004,-0.0143671,0.00101987,0.004,-0.0206775
0.215856,-0.0018155,-0.0778341,-0.00398013,0.004,-0.0206775,0.000933566,0.00290777,-0.000706796
