ballDist,ballDir,targetAngle,velX,velY,velTheta,accX,accY,accTheta
1.33993,0.0867262,-1.58502,-0.005,0,0,0.015,0,0.0173452
1.22442,0.0781205,-1.64505,0.01,0,0.0173452,0.03,0,0.0156241
1.3413,0.044859,-1.68255,0.025,0,0.0156241,0.04,0,0.0089718
1.08911,0.0342205,-1.73955,0.035,0,0.0089718,0.04,0,0.0068441
0.939795,-0.0653989,-1.81999,0.035,0,0.0068441,0.038476,0.000819184,0.0887505
0.757256,-0.118377,-1.86141,0.033476,0.000819184,0.0887505,0.0334471,0.00153299,0.138885
0.624186,-0.368119,-2.0705,0.0284471,0.00153299,0.138885,0.0285322,0.00217939,0.135393
0.561987,-0.578205,-2.19049,0.0235322,0.00217939,0.135393,0.0262677,0.00281976,0.119679
0.484093,-1.06378,-2.41995,0.0212677,0.00281976,0.119679,0.0311976,0.00362124,0.0932275
0.501641,-1.27238,-2.55303,0.0261976,0.00362124,0.0932275,0.0340224,0.004,0.0233114
0.530725,-1.71949,-2.63326,0.0290224,0.004,0.0233114,0.0334252,0.004,-0.0703913
0.532022,-1.70379,-2.5146,0.0284252,0.004,-0.0703913,0.0307261,0.004,-0.121932
0.622004,-1.75384,-2.3063,0.0257261,0.004,-0.121932,0.0293152,0.004,-0.193396
0.599056,-1.64363,-2.01087,0.0243152,0.004,-0.193396,0.0278915,0.004,-0.2
0.599164,-1.48999,-1.74248,0.0228915,0.004,-0.2,0.027051,0.004,-0.2
0.51718,-1.36208,-1.39001,0.022051,0.004,-0.2,0.0259476,0.004,-0.2
0.502227,-1.01615,-0.982409,0.0209476,0.004,-0.2,0.0285154,0.004,-0.2
0.465726,-0.881243,-0.678898,0.0235154,0.004,-0.2,0.0313167,0.004,-0.2
0.375544,-0.631076,-0.280517,0.0263167,0.004,-0.2,0.0304076,0.00382366,-0.2
0.28025,-0.535456,0.0451746,0.0254076,0.00382366,-0.2,0.00937967,0.00311623,-0.130242
0.197675,-0.477675,0.188235,0.00437967,0.00311623,-0.130242,-0.0102256,0.00232148,-0.0313038
0.229782,-0.389648,0.304434,-0.0152256,0.00232148,-0.0313038,-0.0193555,0.00143574,0.0637215
0.281872,-0.415954,0.212784,-0.0243555,0.00143574,0.0637215,-0.016992,0.000118641,0.0460368
0.34946,-0.401973,0.115289,-0.021992,0.000118641,0.0460368,-0.0107778,-0.00124005,-0.018913
0.412322,-0.415463,0.0787294,-0.0157778,-0.00124005,-0.018913,-0.00435964,-0.00192754,-0.0463354
0.408438,-0.242255,0.172551,-0.00935964,-0.00192754,-0.0463354,0.00443421,-0.00243425,-0.014358
0.407242,-0.232408,0.176414,-0.000565794,-0.00243425,-0.014358,0.013376,-0.00283455,-0.00412632
0.387714,-0.211334,0.167109,0.00837604,-0.00283455,-0.00412632,0.0209728,-0.0031233,0.00362786
0.345473,-0.233263,0.144003,0.0159728,-0.0031233,0.00362786,0.0210006,-0.00371472,-0.00298291
0.280555,-0.295294,0.146518,0.0160006,-0.00371472,-0.00298291,0.00853251,-0.004,-0.00352118
0.212984,-0.318644,0.128946,0.00353251,-0.004,-0.00352118,-0.00524163,-0.004,-0.00361424
0.23259,-0.275503,0.158148,-0.0102416,-0.004,-0.00361424,-0.00552368,-0.004,0.0153478
0.264387,-0.243528,0.0246721,-0.0105237,-0.004,0.0153478,0.00220378,-0.004,-0.0288422
0.261271,-0.291827,0.033059,-0.00279622,-0.004,-0.0288422,0.00365877,-0.004,-0.0393847
0.25837,-0.168539,0.106099,-0.00134123,-0.004,-0.0393847,0.000744278,-0.004,0.00627048
0.239399,-0.0141675,0.121421,-0.00425572,-0.004,0.00627048,-0.00434574,-0.00374199,0.0320779
0.273488,-0.133729,0.0784973,-0.00934574,-0.00374199,0.0320779,0.00241928,-0.00387169,0.00334342
