ballDist,ballDir,targetAngle,velX,velY,velTheta,accX,accY,accTheta
1.3315,-0.0294471,-1.56974,-0.005,0,0,0.015,0,-0.00588941
1.3762,-0.0445704,-1.63996,0.01,0,-0.00588941,0.03,0,-0.00891408
1.34396,-0.102561,-1.6871,0.025,0,-0.00891408,0.0397898,0,-0.0205122
1.10477,-0.133504,-1.70214,0.0347898,0,-0.0205122,0.0396441,0,-0.0267008
1.0086,0.0446439,-1.58242,0.0346441,0,-0.0267008,0.0399601,0,0.00892878
0.729774,0.137793,-1.48569,0.0349601,0,0.00892877,0.0229774,0.002,0.041338
0.649059,0.172184,-1.48992,0.0179774,0.002,0.041338,0.0149059,0.004,0.0516553
0.561476,0.0479244,-1.56609,0.00990593,0.004,0.0516553,0.00614762,0.004,0.0143773
0.578822,-0.00946275,-1.63199,0.00114762,0.004,0.0143773,0.00788215,0.004,-0.00283883
0.518632,-0.00985718,-1.62058,0.00288215,0.004,-0.00283883,0.0018632,0.004,-0.00295715
0.513968,-0.0554205,-1.62534,-0.0031368,0.004,-0.00295715,0.00139675,0.004,-0.0166261
0.537022,-0.0550831,-1.61902,-0.00360325,0.004,-0.0166261,0.00370222,0.004,-0.0165249
0.511128,-0.0773307,-1.63353,-0.00129778,0.004,-0.0165249,0.00111284,0.004,-0.0231992
0.512165,-0.075365,-1.6175,-0.00388716,0.004,-0.0231992,0.00121649,0.004,-0.0226095
0.528946,-0.0984961,-1.62446,-0.00378351,0.004,-0.0226095,0.00289465,0.004,-0.0295488
0.518511,-0.119523,-1.60819,-0.00210535,0.004,-0.0295488,0.00185107,0.004,-0.0358569
0.499359,-0.10078,-1.57032,-0.00314893,0.004,-0.0358569,-6.40757e-05,0.004,-0.0302341
0.52713,-0.0409921,-1.53385,-0.00506408,0.004,-0.0302341,0.00271299,0.004,-0.0122976
0.515154,-0.0489697,-1.51691,-0.00228701,0.004,-0.0122976,0.00151543,0.004,-0.0146909
0.508449,-0.0200557,-1.4631,-0.00348457,0.004,-0.0146909,0.00084488,0.004,-0.0060167
0.522238,-0.0145053,-1.4395,-0.00415512,0.004,-0.0060167,0.00222384,0.004,-0.0043516
0.530754,-0.0561187,-1.48855,-0.00277616,0.004,-0.0043516,0.00307539,0.004,-0.0168356
0.537221,-0.117788,-1.47029,-0.00192461,0.004,-0.0168356,0.00372209,0.004,-0.0353363
0.505343,-0.00968914,-1.40498,-0.00127791,0.004,-0.0353363,0.000534342,0.004,-0.00290674
0.511638,-0.0298723,-1.42177,-0.00446566,0.004,-0.00290674,0.0011638,0.004,-0.00896168
0.531659,-0.0707716,-1.38563,-0.0038362,0.004,-0.00896168,0.00316593,0.004,-0.0212315
0.545043,-0.0295628,-1.37272,-0.00183407,0.004,-0.0212315,0.00450426,0.004,-0.00886885
0.562344,-0.0710566,-1.36096,-0.000495742,0.004,-0.00886885,0.00623441,0.004,-0.021317
0.527881,-0.00549901,-1.31721,0.00123441,0.004,-0.021317,0.00278815,0.004,-0.0016497
0.518559,-0.0132822,-1.31853,-0.00221185,0.004,-0.0016497,0.0018559,0.004,-0.00398467
0.528354,0.0010947,-1.26447,-0.0031441,0.004,-0.00398467,0.00283542,0.004,0.000328409
0.516815,0.0199353,-1.2609,-0.00216458,0.004,0.000328409,0.00168153,0.004,0.00598058
0.501077,0.0314142,-1.25111,-0.00331847,0.004,0.00598058,0.000107657,0.004,0.00942427
