ballDist,ballDir,targetAngle,velX,velY,velTheta,accX,accY,accTheta
1.29563,-0.0104125,-1.6147,-0.005,0,0,0.015,0,-0.00195767
1.27271,-0.00814031,-1.6178,-0.005,0,0,0.015,0,-0.00153047
1.23688,-0.0207608,-1.6745,0.01,0,-0.00153047,0.03,0,-0.00390326
1.24945,-0.0107795,-1.65988,0.025,0,-0.00390326,0.0399977,0,-0.00202667
1.02131,-0.00552344,-1.68408,0.0349977,0,-0.00202667,0.0399994,0,-0.00103847
0.913674,-0.0729238,-1.69874,0.0349994,0,-0.00103847,0.0398937,0,-0.0137105
0.677431,0.0260374,-1.68864,0.0348937,0,-0.0137105,0.04,0.01,0.0129678
0.560765,-0.0331584,-1.69627,0.035,0.01,0.0129678,0.04,0.02,-0.0165144
0.427416,0.0904586,-1.56135,0.035,0.02,-0.0165144,0.04,0.02,0.0450526
0.304163,-0.1334,-1.56448,0.035,0.02,0.0450526,0.0168402,0.02,-0.0664392
0.226092,-0.559224,-1.54896,0.0118402,0.02,-0.0664392,0.000774406,0.02,-0.2
0.173044,-0.386536,-1.16262,-0.00422559,0.02,-0.2,-0.0101421,0.02,-0.192513
0.210388,-0.154392,-0.886236,-0.0151421,0.02,-0.192513,-0.00245731,0.02,-0.0768943
0.205353,-0.217035,-0.762882,-0.00745731,0.02,-0.0768943,-0.00349336,0.02,-0.108094
0.215956,-0.284932,-0.576545,-0.00849336,0.02,-0.108094,-0.00131153,0.02,-0.141909
0.233027,-0.177318,-0.394942,-0.00631153,0.02,-0.141909,0.00220141,0.0195029,-0.0883125
0.22261,-0.322943,-0.276481,-0.00279859,0.0195029,-0.0883125,5.77679e-05,0.0136531,-0.160841
0.234226,-0.10184,-0.0286443,-0.00494223,0.0136531,-0.160841,0.000741031,0.00365305,-0.0108409
0.253967,-0.241026,0.0320077,-0.00425897,0.00365305,-0.0108409,0.00354226,-0.00634695,0
0.237597,-0.162654,0.043723,-0.00145774,-0.00634695,0,0.00103902,-0.00378772,0
0.234193,-0.106934,0.0594739,-0.00396098,-0.00378772,0,0.000708547,-0.00186463,0.0142836
0.238074,-0.108463,0.0200339,-0.00429145,-0.00186463,0.0142836,0.00149465,-0.00197537,0
