ballDist,ballDir,targetAngle,velX,velY,velTheta,accX,accY,accTheta
1.32511,-0.035384,-1.59482,-0.005,0,0,0.015,0,-0.00707679
1.2926,-0.0369669,-1.60063,-0.005,0,0,0.015,0,-0.00739337
1.44627,-0.07926,-1.66867,0.01,0,-0.00739337,0.03,0,-0.015852
1.31443,-0.0755184,-1.66683,0.025,0,-0.015852,0.04,0,-0.0151037
1.14148,-0.1874,-1.75165,0.035,0,-0.0151037,0.04,0,-0.0374799
0.984912,-0.113891,-1.69172,0.035,0,-0.0374799,0.0322135,-0.000169822,-0.0761656
0.794914,-0.00423971,-1.58126,0.0272135,-0.000169822,-0.0761656,0.0326746,0.00292972,-0.0956757
0.661975,0.279148,-1.38842,0.0276746,0.00292972,-0.0956757,0.0330903,0.0107866,-0.0691599
0.55217,0.376993,-1.33455,0.0280903,0.0107866,-0.0691599,0.0274709,0.0183165,-0.0570383
0.437062,0.437501,-1.30504,0.0224709,0.0183165,-0.0570383,0.0232674,0.02,-0.0763859
0.335665,0.487236,-1.23862,0.0182674,0.02,-0.0763859,0.0133076,0.02,-0.0929364
0.269456,0.515475,-1.15841,0.00830761,0.02,-0.0929364,-0.00212009,0.02,-0.112265
0.232287,0.472201,-1.02176,-0.00712009,0.02,-0.112265,-0.0126666,0.02,-0.135698
0.260047,0.490864,-0.798771,-0.0176666,0.02,-0.135698,-0.014108,0.02,-0.147137
0.302842,0.503993,-0.448815,-0.019108,0.02,-0.147137,-0.00215801,0.02,-0.0804191
0.306444,0.578969,-0.268793,-0.00715801,0.02,-0.0804191,0.0022933,0.02,-0.0157058
0.268593,0.4447,-0.213504,-0.0027067,0.02,-0.0157058,0.00053444,0.02,-0.00978186
0.253057,0.224242,-0.185251,-0.00446556,0.02,-0.00978186,-0.00222723,0.02,-0.0550801
0.253798,0.0500348,-0.078966,-0.00722723,0.02,-0.0550801,-0.00321238,0.0171596,-0.0506024
